ValidMSE,LearningRate,HiddenUnits,MaxEpoch,ExampleSize,DomainLambda,TrainMSE,ValidDomainloss,TrainDomainloss
0.010895313676584,1,4,100,2282,10,0.0017602250959529,27.631021115928,27.631021115928
0.011422914230021,1,4,100,2333,10,0.0018074775571598,27.631021115928,27.631021115928
0.011321234205183,1,4,100,2384,10,0.0018066379015198,27.602564086789,27.602564086787
0.011200036969953,1,4,100,2435,10,0.0018257691959524,23.752689487073,23.752690115553
0.011555071934393,1,4,100,2486,10,0.0018322153851143,27.631021115928,27.631021115928
0.011458333506907,1,4,100,2537,10,0.0018277347939757,17.155738924909,17.155762298868
0.011098174114041,1,4,100,2588,10,0.0018254387467613,27.631021115928,27.631021115928
0.01166778402213,1,4,100,2639,10,0.0018290428955674,27.631021115928,27.631021115928
0.011383973200009,1,4,100,2690,10,0.0018208170049124,27.631021115928,27.631021115928
0.01132652725657,1,4,100,2741,10,0.0018208674205936,27.631021115928,27.631021115928
0.011476290857093,1,4,100,2792,10,0.0018103321868367,27.631020916685,27.6310209173
0.011240226255019,1,4,100,2843,10,0.0018027065587344,19.688544084288,19.688573138438
0.011310886867458,1,4,100,2894,10,0.001799400980306,26.18837024115,26.188370822064
0.011475995933383,1,4,100,2945,10,0.001829304436552,27.631021115928,27.631021115928
0.011272517665888,1,4,100,2996,10,0.0018303371908065,27.631021115928,27.631021115928
0.011346852380923,1,4,100,3047,10,0.0018271744420305,27.631021115928,27.631021115928
0.011419322542792,1,4,100,3098,10,0.0018184914805039,19.950295105257,19.950277867178
0.011473706116114,1,4,100,3149,10,0.0018254099899094,27.631021115928,27.631021115928
0.011128804085608,1,4,100,3200,10,0.0018603367178467,17.455909808244,17.455910736678
0.011515780555565,1,4,100,3251,10,0.0018553968261384,22.546003190638,22.546022163278
0.011121437783938,1,4,100,3302,10,0.0018506678459494,27.631020650321,27.631020653406
0.010950563805085,1,4,100,3353,10,0.0018523570644413,21.240765269099,21.240743545296
0.011329752984689,1,4,100,3404,10,0.0018518692053348,27.631021115928,27.631021115928
0.010859727557498,1,4,100,3455,10,0.0018524508371544,27.631021115928,27.631021115928
0.01115573819828,1,4,100,3506,10,0.0018527112474451,27.631021115928,27.631021115928
0.011151758439782,1,4,100,3557,10,0.0018534506933991,27.631021115928,27.631021115928
0.01105828211278,1,4,100,3608,10,0.0018564325809663,27.631021115928,27.631021115928
0.011253933382379,1,4,100,3659,10,0.0018698827403849,27.631021115928,27.631021115928
0.010862649837686,1,4,100,3710,10,0.0018826500360809,27.631021115928,27.631021115928
0.011045117103471,1,4,100,3761,10,0.0018863151710903,27.625927086637,27.625927086643
